"","ensembl_gene_id","external_gene_name","Gene_name_canonical","graph_localization_annotation","num_human","num"
"3903","ENSMUSG00000058503","Fam133b","FAM133B","nucleus",1,1
"3904","ENSMUSG00000058546","Rpl23a","RPL23A","translation",1,1
"3905","ENSMUSG00000058569","Tmed9","TMED9","ERGIC",1,1
"3906","ENSMUSG00000058587","Tmod3","TMOD3","actin_cytoskeleton",1,1
"3907","ENSMUSG00000058600","Rpl30","RPL30","translation",1,1
"3908","ENSMUSG00000058655","Eif4b","EIF4B","stress_granule",1,1
"3909","ENSMUSG00000058672","Tubb2a","TUBB2A","cytosol",1,1
"3910","ENSMUSG00000058793","Cds2","CDS2","ER",1,1
"3911","ENSMUSG00000058799","Nap1l1","NAP1L1","cytosol",1,2
"3912","ENSMUSG00000058835","Abi1","ABI1","actin_cytoskeleton",1,1
"3913","ENSMUSG00000058997","Vwa8","VWA8","mitochondrion",1,1
"3914","ENSMUSG00000059070","Rpl18","RPL18","translation",1,1
"3915","ENSMUSG00000059119","Nap1l4","NAP1L4","cytosol",1,1
"3916","ENSMUSG00000059208","Hnrnpm","HNRNPM","nucleus",1,2
"3917","ENSMUSG00000059248","Septin9","SEPTIN9","actin_cytoskeleton",1,1
"3918","ENSMUSG00000059263","Usp47","USP47","cytosol",1,2
"3919","ENSMUSG00000059273","Zc3h4","ZC3H4","translation",1,1
"3920","ENSMUSG00000059278","Naa38","NAA38","unclassified",1,1
"3921","ENSMUSG00000059291","Rpl11","RPL11","translation",1,1
"3922","ENSMUSG00000059316","Slc27a4","SLC27A4","ER",1,1
"3923","ENSMUSG00000059409","Ppp2r5d","PPP2R5D","cytosol",1,1
"3924","ENSMUSG00000059439","Bcas3","BCAS3","cytosol",1,1
"3925","ENSMUSG00000059447","Hadhb","HADHB","mitochondrion",1,1
"3926","ENSMUSG00000059486","Kbtbd2","KBTBD2","cytosol",1,1
"3927","ENSMUSG00000059586","Nsmce2","NSMCE2","nucleus",1,1
"3928","ENSMUSG00000059714","Flot1","FLOT1","lysosome",1,1
